trial,seed,N,T,success,runtime_s,recovered_key,returncode
97,20000006046,6,200000,0,4.828,,1
98,20000006047,6,200000,0,5.221,,1
99,20000006048,6,200000,0,4.951,,1
100,20000006049,6,200000,1,4.531,4F4E4D494B52,0
101,20000008000,8,200000,0,5.020,,1
102,20000008001,8,200000,0,5.525,,1
103,20000008002,8,200000,0,5.199,,1
104,20000008003,8,200000,0,5.165,,1
105,20000008004,8,200000,0,5.217,,1
106,20000008005,8,200000,0,5.195,,1
107,20000008006,8,200000,1,5.002,4F4E4D494B52,0
108,20000008007,8,200000,0,5.324,,1
109,20000008008,8,200000,0,5.312,,1
110,20000008009,8,200000,1,5.188,4F4E4D494B52,0
111,20000008010,8,200000,0,5.018,,1
112,20000008011,8,200000,0,5.256,,1
113,20000008012,8,200000,0,5.252,,1
114,20000008013,8,200000,0,5.341,,1
115,20000008014,8,200000,0,5.365,,1
116,20000008015,8,200000,0,5.432,,1
117,20000008016,8,200000,0,5.098,,1
118,20000008017,8,200000,0,5.137,,1
119,20000008018,8,200000,1,4.971,4F4E4D494B52,0
120,20000008019,8,200000,0,5.101,,1
121,20000008020,8,200000,0,5.349,,1
122,20000008021,8,200000,1,5.139,4F4E4D494B52,0
123,20000008022,8,200000,1,5.103,4F4E4D494B52,0
124,20000008023,8,200000,1,5.227,4F4E4D494B52,0
125,20000008024,8,200000,0,4.982,,1
126,20000008025,8,200000,0,5.538,,1
127,20000008026,8,200000,1,5.408,4F4E4D494B52,0
128,20000008027,8,200000,0,5.643,,1
129,20000008028,8,200000,0,5.104,,1
130,20000008029,8,200000,0,5.162,,1
131,20000008030,8,200000,0,5.144,,1
132,20000008031,8,200000,1,4.994,4F4E4D494B52,0
133,20000008032,8,200000,0,5.412,,1
134,20000008033,8,200000,0,5.429,,1
135,20000008034,8,200000,0,5.408,,1
136,20000008035,8,200000,0,5.324,,1
137,20000008036,8,200000,0,5.120,,1
138,20000008037,8,200000,0,5.171,,1
139,20000008038,8,200000,0,5.256,,1
140,20000008039,8,200000,0,5.189,,1
141,20000008040,8,200000,0,5.466,,1
142,20000008041,8,200000,0,5.327,,1
143,20000008042,8,200000,0,5.257,,1
144,20000008043,8,200000,0,5.069,,1
145,20000008044,8,200000,0,5.207,,1
146,20000008045,8,200000,1,5.248,4F4E4D494B52,0
147,20000008046,8,200000,0,5.037,,1
148,20000008047,8,200000,0,5.180,,1
149,20000008048,8,200000,0,5.610,,1
150,20000008049,8,200000,0,5.405,,1
151,20000010000,10,200000,0,5.875,,1
152,20000010001,10,200000,1,6.257,4F4E4D494B52,0
153,20000010002,10,200000,1,5.844,4F4E4D494B52,0
154,20000010003,10,200000,1,5.621,4F4E4D494B52,0
155,20000010004,10,200000,0,5.710,,1
156,20000010005,10,200000,0,5.902,,1
157,20000010006,10,200000,1,5.308,4F4E4D494B52,0
158,20000010007,10,200000,0,6.068,,1
159,20000010008,10,200000,1,5.647,4F4E4D494B52,0
160,20000010009,10,200000,1,5.687,4F4E4D494B52,0
161,20000010010,10,200000,0,5.660,,1
162,20000010011,10,200000,0,6.152,,1
163,20000010012,10,200000,0,5.960,,1
164,20000010013,10,200000,0,5.684,,1
165,20000010014,10,200000,1,5.764,4F4E4D494B52,0
166,20000010015,10,200000,0,6.026,,1
167,20000010016,10,200000,0,5.554,,1
168,20000010017,10,200000,0,5.977,,1
169,20000010018,10,200000,0,5.604,,1
170,20000010019,10,200000,1,5.876,4F4E4D494B52,0
171,20000010020,10,200000,0,5.489,,1
172,20000010021,10,200000,0,5.886,,1
173,20000010022,10,200000,1,5.498,4F4E4D494B52,0
174,20000010023,10,200000,0,5.712,,1
175,20000010024,10,200000,0,5.934,,1
176,20000010025,10,200000,1,5.384,4F4E4D494B52,0
177,20000010026,10,200000,1,5.823,4F4E4D494B52,0
178,20000010027,10,200000,0,5.701,,1
179,20000010028,10,200000,1,5.721,4F4E4D494B52,0
180,20000010029,10,200000,0,5.896,,1
181,20000010030,10,200000,1,5.617,4F4E4D494B52,0
182,20000010031,10,200000,1,5.776,4F4E4D494B52,0
183,20000010032,10,200000,0,5.969,,1
184,20000010033,10,200000,0,5.884,,1
185,20000010034,10,200000,1,5.866,4F4E4D494B52,0
186,20000010035,10,200000,0,5.738,,1
187,20000010036,10,200000,1,5.623,4F4E4D494B52,0
188,20000010037,10,200000,1,5.680,4F4E4D494B52,0
189,20000010038,10,200000,0,5.800,,1
190,20000010039,10,200000,0,5.896,,1
191,20000010040,10,200000,0,5.651,,1
192,20000010041,10,200000,0,5.669,,1
193,20000010042,10,200000,0,5.790,,1
194,20000010043,10,200000,1,5.646,4F4E4D494B52,0
195,20000010044,10,200000,0,5.656,,1
196,20000010045,10,200000,0,5.467,,1
197,20000010046,10,200000,0,5.707,,1
198,20000010047,10,200000,0,5.856,,1
199,20000010048,10,200000,0,5.558,,1
200,20000010049,10,200000,0,5.795,,1
201,20000012000,12,200000,1,6.005,4F4E4D494B52,0
202,20000012001,12,200000,1,6.270,4F4E4D494B52,0
203,20000012002,12,200000,1,6.480,4F4E4D494B52,0
204,20000012003,12,200000,1,5.945,4F4E4D494B52,0
205,20000012004,12,200000,0,6.226,,1
206,20000012005,12,200000,1,6.145,4F4E4D494B52,0
207,20000012006,12,200000,1,5.870,4F4E4D494B52,0
208,20000012007,12,200000,1,6.091,4F4E4D494B52,0
209,20000012008,12,200000,1,6.088,4F4E4D494B52,0
210,20000012009,12,200000,1,6.564,4F4E4D494B52,0
211,20000012010,12,200000,0,6.502,,1
212,20000012011,12,200000,1,6.112,4F4E4D494B52,0
213,20000012012,12,200000,0,6.274,,1
214,20000012013,12,200000,0,6.396,,1
215,20000012014,12,200000,0,6.585,,1
216,20000012015,12,200000,0,6.081,,1
217,20000012016,12,200000,0,6.465,,1
218,20000012017,12,200000,1,6.038,4F4E4D494B52,0
219,20000012018,12,200000,0,6.154,,1
220,20000012019,12,200000,1,6.050,4F4E4D494B52,0
221,20000012020,12,200000,0,6.382,,1
222,20000012021,12,200000,1,6.059,4F4E4D494B52,0
223,20000012022,12,200000,0,6.566,,1
224,20000012023,12,200000,0,6.329,,1
225,20000012024,12,200000,1,6.033,4F4E4D494B52,0
226,20000012025,12,200000,0,6.510,,1
227,20000012026,12,200000,0,6.390,,1
228,20000012027,12,200000,0,6.154,,1
229,20000012028,12,200000,1,6.093,4F4E4D494B52,0
230,20000012029,12,200000,1,6.157,4F4E4D494B52,0
231,20000012030,12,200000,1,5.820,4F4E4D494B52,0
232,20000012031,12,200000,0,6.308,,1
233,20000012032,12,200000,0,6.190,,1
234,20000012033,12,200000,1,6.203,4F4E4D494B52,0
235,20000012034,12,200000,1,6.334,4F4E4D494B52,0
236,20000012035,12,200000,1,5.967,4F4E4D494B52,0
237,20000012036,12,200000,0,6.615,,1
238,20000012037,12,200000,1,6.464,4F4E4D494B52,0
239,20000012038,12,200000,1,6.423,4F4E4D494B52,0
240,20000012039,12,200000,1,6.510,4F4E4D494B52,0
241,20000012040,12,200000,0,6.549,,1
242,20000012041,12,200000,1,6.584,4F4E4D494B52,0
243,20000012042,12,200000,0,6.600,,1
244,20000012043,12,200000,1,6.769,4F4E4D494B52,0
245,20000012044,12,200000,1,6.841,4F4E4D494B52,0
246,20000012045,12,200000,1,6.517,4F4E4D494B52,0
247,20000012046,12,200000,0,6.535,,1
248,20000012047,12,200000,1,6.641,4F4E4D494B52,0
249,20000012048,12,200000,1,7.312,4F4E4D494B52,0
250,20000012049,12,200000,0,7.408,,1
251,20000016000,16,200000,1,7.935,4F4E4D494B52,0
252,20000016001,16,200000,0,7.697,,1
253,20000016002,16,200000,0,7.672,,1
254,20000016003,16,200000,1,7.789,4F4E4D494B52,0
255,20000016004,16,200000,0,7.697,,1
256,20000016005,16,200000,1,8.023,4F4E4D494B52,0
257,20000016006,16,200000,0,6.644,,1
258,20000016007,16,200000,0,6.881,,1
259,20000016008,16,200000,1,7.124,4F4E4D494B52,0
260,20000016009,16,200000,1,7.275,4F4E4D494B52,0
261,20000016010,16,200000,0,7.189,,1
262,20000016011,16,200000,1,7.615,4F4E4D494B52,0
263,20000016012,16,200000,0,6.977,,1
264,20000016013,16,200000,1,7.177,4F4E4D494B52,0
265,20000016014,16,200000,1,7.129,4F4E4D494B52,0
266,20000016015,16,200000,0,7.053,,1
267,20000016016,16,200000,0,7.159,,1
268,20000016017,16,200000,1,7.382,4F4E4D494B52,0
269,20000016018,16,200000,1,7.308,4F4E4D494B52,0
270,20000016019,16,200000,1,7.210,4F4E4D494B52,0
271,20000016020,16,200000,1,7.304,4F4E4D494B52,0
272,20000016021,16,200000,1,7.470,4F4E4D494B52,0
273,20000016022,16,200000,0,7.979,,1
274,20000016023,16,200000,1,7.528,4F4E4D494B52,0
275,20000016024,16,200000,0,7.784,,1
276,20000016025,16,200000,1,8.012,4F4E4D494B52,0
277,20000016026,16,200000,1,7.168,4F4E4D494B52,0
278,20000016027,16,200000,1,7.096,4F4E4D494B52,0
279,20000016028,16,200000,1,7.238,4F4E4D494B52,0
280,20000016029,16,200000,1,7.135,4F4E4D494B52,0
281,20000016030,16,200000,1,6.592,4F4E4D494B52,0
282,20000016031,16,200000,1,7.615,4F4E4D494B52,0
283,20000016032,16,200000,1,7.032,4F4E4D494B52,0
284,20000016033,16,200000,1,7.524,4F4E4D494B52,0
285,20000016034,16,200000,1,7.031,4F4E4D494B52,0
286,20000016035,16,200000,0,7.559,,1
287,20000016036,16,200000,1,7.503,4F4E4D494B52,0
288,20000016037,16,200000,0,7.465,,1
289,20000016038,16,200000,0,7.101,,1
290,20000016039,16,200000,0,7.309,,1
291,20000016040,16,200000,0,7.408,,1
292,20000016041,16,200000,0,7.550,,1
293,20000016042,16,200000,0,7.343,,1
294,20000016043,16,200000,1,7.327,4F4E4D494B52,0
295,20000016044,16,200000,0,7.360,,1
296,20000016045,16,200000,1,7.208,4F4E4D494B52,0
297,20000016046,16,200000,1,7.526,4F4E4D494B52,0
298,20000016047,16,200000,1,7.333,4F4E4D494B52,0
299,20000016048,16,200000,0,7.181,,1
300,20000016049,16,200000,1,7.270,4F4E4D494B52,0
301,20000020000,20,200000,1,8.436,4F4E4D494B52,0
302,20000020001,20,200000,1,7.922,4F4E4D494B52,0
303,20000020002,20,200000,1,8.288,4F4E4D494B52,0
304,20000020003,20,200000,0,8.589,,1
305,20000020004,20,200000,1,8.660,4F4E4D494B52,0
306,20000020005,20,200000,1,8.411,4F4E4D494B52,0
307,20000020006,20,200000,0,8.278,,1
308,20000020007,20,200000,0,8.650,,1
309,20000020008,20,200000,0,9.231,,1
310,20000020009,20,200000,1,8.615,4F4E4D494B52,0
311,20000020010,20,200000,1,8.830,4F4E4D494B52,0
312,20000020011,20,200000,0,8.561,,1
313,20000020012,20,200000,1,8.636,4F4E4D494B52,0
314,20000020013,20,200000,1,8.692,4F4E4D494B52,0
315,20000020014,20,200000,1,8.352,4F4E4D494B52,0
316,20000020015,20,200000,1,8.540,4F4E4D494B52,0
317,20000020016,20,200000,0,8.930,,1
318,20000020017,20,200000,1,8.668,4F4E4D494B52,0
319,20000020018,20,200000,1,8.409,4F4E4D494B52,0
320,20000020019,20,200000,1,8.508,4F4E4D494B52,0
321,20000020020,20,200000,1,8.565,4F4E4D494B52,0
322,20000020021,20,200000,0,8.343,,1
323,20000020022,20,200000,1,8.933,4F4E4D494B52,0
324,20000020023,20,200000,1,8.974,4F4E4D494B52,0
325,20000020024,20,200000,1,8.634,4F4E4D494B52,0
326,20000020025,20,200000,1,9.184,4F4E4D494B52,0
327,20000020026,20,200000,0,8.409,,1
328,20000020027,20,200000,1,8.622,4F4E4D494B52,0
329,20000020028,20,200000,0,8.899,,1
330,20000020029,20,200000,1,9.442,4F4E4D494B52,0
331,20000020030,20,200000,1,8.204,4F4E4D494B52,0
332,20000020031,20,200000,1,8.771,4F4E4D494B52,0
333,20000020032,20,200000,1,8.360,4F4E4D494B52,0
334,20000020033,20,200000,1,8.622,4F4E4D494B52,0
335,20000020034,20,200000,1,8.245,4F4E4D494B52,0
336,20000020035,20,200000,1,8.736,4F4E4D494B52,0
337,20000020036,20,200000,1,8.764,4F4E4D494B52,0
338,20000020037,20,200000,1,8.090,4F4E4D494B52,0
339,20000020038,20,200000,1,7.572,4F4E4D494B52,0
340,20000020039,20,200000,1,8.823,4F4E4D494B52,0
341,20000020040,20,200000,1,9.449,4F4E4D494B52,0
342,20000020041,20,200000,1,8.179,4F4E4D494B52,0
343,20000020042,20,200000,1,8.820,4F4E4D494B52,0
344,20000020043,20,200000,1,8.210,4F4E4D494B52,0
345,20000020044,20,200000,1,7.876,4F4E4D494B52,0
346,20000020045,20,200000,1,8.742,4F4E4D494B52,0
347,20000020046,20,200000,1,8.123,4F4E4D494B52,0
348,20000020047,20,200000,1,8.365,4F4E4D494B52,0
349,20000020048,20,200000,1,8.332,4F4E4D494B52,0
350,20000020049,20,200000,0,8.533,,1
351,20000024000,24,200000,1,10.425,4F4E4D494B52,0
352,20000024001,24,200000,1,10.587,4F4E4D494B52,0
353,20000024002,24,200000,1,9.333,4F4E4D494B52,0
354,20000024003,24,200000,1,9.554,4F4E4D494B52,0
355,20000024004,24,200000,1,9.692,4F4E4D494B52,0
356,20000024005,24,200000,1,10.155,4F4E4D494B52,0
357,20000024006,24,200000,1,9.682,4F4E4D494B52,0
358,20000024007,24,200000,1,9.806,4F4E4D494B52,0
359,20000024008,24,200000,1,9.566,4F4E4D494B52,0
360,20000024009,24,200000,1,10.071,4F4E4D494B52,0
361,20000024010,24,200000,0,9.748,,1
362,20000024011,24,200000,1,10.280,4F4E4D494B52,0
363,20000024012,24,200000,1,9.484,4F4E4D494B52,0
364,20000024013,24,200000,0,8.949,,1
365,20000024014,24,200000,1,9.744,4F4E4D494B52,0
366,20000024015,24,200000,1,9.869,4F4E4D494B52,0
367,20000024016,24,200000,1,9.909,4F4E4D494B52,0
368,20000024017,24,200000,1,9.318,4F4E4D494B52,0
369,20000024018,24,200000,1,9.250,4F4E4D494B52,0
370,20000024019,24,200000,0,9.729,,1
371,20000024020,24,200000,1,9.544,4F4E4D494B52,0
372,20000024021,24,200000,1,9.142,4F4E4D494B52,0
373,20000024022,24,200000,1,9.985,4F4E4D494B52,0
374,20000024023,24,200000,1,9.172,4F4E4D494B52,0
375,20000024024,24,200000,1,9.467,4F4E4D494B52,0
376,20000024025,24,200000,1,9.500,4F4E4D494B52,0
377,20000024026,24,200000,1,9.917,4F4E4D494B52,0
378,20000024027,24,200000,1,9.690,4F4E4D494B52,0
379,20000024028,24,200000,1,9.221,4F4E4D494B52,0
380,20000024029,24,200000,1,8.967,4F4E4D494B52,0
381,20000024030,24,200000,1,9.866,4F4E4D494B52,0
382,20000024031,24,200000,1,9.892,4F4E4D494B52,0
383,20000024032,24,200000,1,9.076,4F4E4D494B52,0
384,20000024033,24,200000,1,9.473,4F4E4D494B52,0
385,20000024034,24,200000,1,8.574,4F4E4D494B52,0
386,20000024035,24,200000,1,9.446,4F4E4D494B52,0
387,20000024036,24,200000,1,9.290,4F4E4D494B52,0
388,20000024037,24,200000,0,9.355,,1
389,20000024038,24,200000,1,10.298,4F4E4D494B52,0
390,20000024039,24,200000,1,9.109,4F4E4D494B52,0
391,20000024040,24,200000,1,10.385,4F4E4D494B52,0
392,20000024041,24,200000,1,10.009,4F4E4D494B52,0
393,20000024042,24,200000,1,10.146,4F4E4D494B52,0
394,20000024043,24,200000,1,9.795,4F4E4D494B52,0
395,20000024044,24,200000,1,9.752,4F4E4D494B52,0
396,20000024045,24,200000,1,9.743,4F4E4D494B52,0
397,20000024046,24,200000,0,9.518,,1
398,20000024047,24,200000,1,9.866,4F4E4D494B52,0
399,20000024048,24,200000,1,10.100,4F4E4D494B52,0
400,20000024049,24,200000,1,10.337,4F4E4D494B52,0
401,20000032000,32,200000,1,13.014,4F4E4D494B52,0
402,20000032001,32,200000,1,12.253,4F4E4D494B52,0
403,20000032002,32,200000,1,12.308,4F4E4D494B52,0
404,20000032003,32,200000,1,12.864,4F4E4D494B52,0
405,20000032004,32,200000,1,12.833,4F4E4D494B52,0
406,20000032005,32,200000,1,10.997,4F4E4D494B52,0
407,20000032006,32,200000,1,13.048,4F4E4D494B52,0
408,20000032007,32,200000,1,12.576,4F4E4D494B52,0
409,20000032008,32,200000,1,11.890,4F4E4D494B52,0
410,20000032009,32,200000,1,12.043,4F4E4D494B52,0
411,20000032010,32,200000,1,11.654,4F4E4D494B52,0
412,20000032011,32,200000,1,11.884,4F4E4D494B52,0
413,20000032012,32,200000,1,13.227,4F4E4D494B52,0
414,20000032013,32,200000,1,11.875,4F4E4D494B52,0
415,20000032014,32,200000,1,12.250,4F4E4D494B52,0
416,20000032015,32,200000,0,11.953,,1
417,20000032016,32,200000,1,12.504,4F4E4D494B52,0
418,20000032017,32,200000,1,11.507,4F4E4D494B52,0
419,20000032018,32,200000,1,11.582,4F4E4D494B52,0
420,20000032019,32,200000,1,12.828,4F4E4D494B52,0
421,20000032020,32,200000,1,12.974,4F4E4D494B52,0
422,20000032021,32,200000,1,10.190,4F4E4D494B52,0
423,20000032022,32,200000,1,12.670,4F4E4D494B52,0
424,20000032023,32,200000,1,12.749,4F4E4D494B52,0
425,20000032024,32,200000,1,13.167,4F4E4D494B52,0
426,20000032025,32,200000,1,12.245,4F4E4D494B52,0
427,20000032026,32,200000,1,11.886,4F4E4D494B52,0
428,20000032027,32,200000,1,11.722,4F4E4D494B52,0
429,20000032028,32,200000,1,12.380,4F4E4D494B52,0
430,20000032029,32,200000,1,12.046,4F4E4D494B52,0
431,20000032030,32,200000,1,12.192,4F4E4D494B52,0
432,20000032031,32,200000,1,12.238,4F4E4D494B52,0
433,20000032032,32,200000,1,12.216,4F4E4D494B52,0
434,20000032033,32,200000,1,13.458,4F4E4D494B52,0
435,20000032034,32,200000,1,13.212,4F4E4D494B52,0
436,20000032035,32,200000,1,11.327,4F4E4D494B52,0
437,20000032036,32,200000,1,13.097,4F4E4D494B52,0
438,20000032037,32,200000,1,13.004,4F4E4D494B52,0
439,20000032038,32,200000,1,11.829,4F4E4D494B52,0
440,20000032039,32,200000,1,12.786,4F4E4D494B52,0
441,20000032040,32,200000,1,12.564,4F4E4D494B52,0
442,20000032041,32,200000,1,12.346,4F4E4D494B52,0
443,20000032042,32,200000,1,12.339,4F4E4D494B52,0
444,20000032043,32,200000,1,12.397,4F4E4D494B52,0
445,20000032044,32,200000,1,11.665,4F4E4D494B52,0
446,20000032045,32,200000,1,12.561,4F4E4D494B52,0
447,20000032046,32,200000,1,12.748,4F4E4D494B52,0
448,20000032047,32,200000,1,12.068,4F4E4D494B52,0
449,20000032048,32,200000,1,12.892,4F4E4D494B52,0
450,20000032049,32,200000,1,12.561,4F4E4D494B52,0
451,40000004000,4,400000,0,9.113,,1
452,40000004001,4,400000,0,9.096,,1
453,40000004002,4,400000,0,9.067,,1
454,40000004003,4,400000,0,9.266,,1
455,40000004004,4,400000,0,9.002,,1
456,40000004005,4,400000,0,9.368,,1
457,40000004006,4,400000,0,8.986,,1
458,40000004007,4,400000,0,9.101,,1
459,40000004008,4,400000,0,9.197,,1
460,40000004009,4,400000,0,9.239,,1
461,40000004010,4,400000,0,9.171,,1
462,40000004011,4,400000,0,8.736,,1
463,40000004012,4,400000,0,9.287,,1
464,40000004013,4,400000,0,8.799,,1
465,40000004014,4,400000,0,9.463,,1
466,40000004015,4,400000,0,9.568,,1
467,40000004016,4,400000,0,8.999,,1
468,40000004017,4,400000,0,9.494,,1
469,40000004018,4,400000,0,9.494,,1
470,40000004019,4,400000,0,9.391,,1
471,40000004020,4,400000,1,8.749,4F4E4D494B52,0
472,40000004021,4,400000,0,9.179,,1
473,40000004022,4,400000,0,9.222,,1
474,40000004023,4,400000,1,9.073,4F4E4D494B52,0
475,40000004024,4,400000,0,9.532,,1
476,40000004025,4,400000,0,8.996,,1
477,40000004026,4,400000,0,8.890,,1
478,40000004027,4,400000,0,9.172,,1
479,40000004028,4,400000,0,9.458,,1
480,40000004029,4,400000,0,9.360,,1
481,40000004030,4,400000,0,9.100,,1
482,40000004031,4,400000,0,9.568,,1
483,40000004032,4,400000,0,9.812,,1
484,40000004033,4,400000,0,9.142,,1
485,40000004034,4,400000,0,9.626,,1
486,40000004035,4,400000,0,9.667,,1
487,40000004036,4,400000,0,8.953,,1
488,40000004037,4,400000,0,9.062,,1
489,40000004038,4,400000,0,9.007,,1
490,40000004039,4,400000,0,8.809,,1
491,40000004040,4,400000,0,9.333,,1
492,40000004041,4,400000,0,9.562,,1
493,40000004042,4,400000,0,9.025,,1
494,40000004043,4,400000,0,9.334,,1
495,40000004044,4,400000,0,9.464,,1
496,40000004045,4,400000,0,9.307,,1
497,40000004046,4,400000,0,9.264,,1
498,40000004047,4,400000,0,9.427,,1
499,40000004048,4,400000,0,8.800,,1
500,40000004049,4,400000,0,9.416,,1
501,40000006000,6,400000,1,9.217,4F4E4D494B52,0
502,40000006001,6,400000,0,8.993,,1
503,40000006002,6,400000,1,9.195,4F4E4D494B52,0
504,40000006003,6,400000,0,9.286,,1
505,40000006004,6,400000,0,9.356,,1
506,40000006005,6,400000,0,9.261,,1
507,40000006006,6,400000,0,9.379,,1
508,40000006007,6,400000,0,9.488,,1
509,40000006008,6,400000,0,9.342,,1
510,40000006009,6,400000,0,9.171,,1
511,40000006010,6,400000,0,9.248,,1
512,40000006011,6,400000,0,9.646,,1
513,40000006012,6,400000,1,9.543,4F4E4D494B52,0
514,40000006013,6,400000,1,8.881,4F4E4D494B52,0
515,40000006014,6,400000,0,9.122,,1
516,40000006015,6,400000,0,9.717,,1
517,40000006016,6,400000,0,9.366,,1
518,40000006017,6,400000,0,9.050,,1
519,40000006018,6,400000,0,9.163,,1
520,40000006019,6,400000,0,9.376,,1
521,40000006020,6,400000,0,9.810,,1
522,40000006021,6,400000,0,9.336,,1
523,40000006022,6,400000,0,9.140,,1
524,40000006023,6,400000,0,9.741,,1
525,40000006024,6,400000,0,9.571,,1
526,40000006025,6,400000,0,9.508,,1
527,40000006026,6,400000,1,8.750,4F4E4D494B52,0
528,40000006027,6,400000,0,9.397,,1
529,40000006028,6,400000,1,8.757,4F4E4D494B52,0
530,40000006029,6,400000,0,8.860,,1
531,40000006030,6,400000,0,9.188,,1
532,40000006031,6,400000,0,9.697,,1
533,40000006032,6,400000,0,9.375,,1
534,40000006033,6,400000,1,8.945,4F4E4D494B52,0
535,40000006034,6,400000,0,9.202,,1
536,40000006035,6,400000,0,9.660,,1
537,40000006036,6,400000,0,9.316,,1
538,40000006037,6,400000,0,9.224,,1
539,40000006038,6,400000,1,8.964,4F4E4D494B52,0
540,40000006039,6,400000,0,9.053,,1
541,40000006040,6,400000,1,9.282,4F4E4D494B52,0
542,40000006041,6,400000,0,9.667,,1
543,40000006042,6,400000,0,9.349,,1
544,40000006043,6,400000,1,8.780,4F4E4D494B52,0
545,40000006044,6,400000,0,9.070,,1
546,40000006045,6,400000,1,8.949,4F4E4D494B52,0
547,40000006046,6,400000,0,9.309,,1
548,40000006047,6,400000,0,9.823,,1
549,40000006048,6,400000,1,9.370,4F4E4D494B52,0
550,40000006049,6,400000,1,8.761,4F4E4D494B52,0
551,40000008000,8,400000,0,10.315,,1
552,40000008001,8,400000,0,9.747,,1
553,40000008002,8,400000,0,9.951,,1
554,40000008003,8,400000,0,10.188,,1
555,40000008004,8,400000,1,10.196,4F4E4D494B52,0
556,40000008005,8,400000,1,9.715,4F4E4D494B52,0
557,40000008006,8,400000,0,10.014,,1
558,40000008007,8,400000,1,9.682,4F4E4D494B52,0
559,40000008008,8,400000,0,10.853,,1
